asset,signal,holding_days,trades,final_capital,total_return_pct,win_rate_pct,max_drawdown_pct,volatility_pct,sharpe_ratio
silver,BUY,20,18,41702.5,317.02,83.33,-9.57,15.26,0.5967
silver,BUY,10,18,21129.45,111.29,72.22,-4.51,7.38,0.607
gold,BUY,20,16,17364.68,73.65,68.75,-4.46,6.59,0.5609
silver,BUY,5,18,15535.94,55.36,55.56,-5.63,5.67,0.4625
gold,BUY,10,16,11802.7,18.03,62.5,-9.84,5.4,0.2175
gold,BUY,5,16,11255.04,12.55,62.5,-9.66,4.14,0.1984
gold,SELL,5,3,10308.0,3.08,66.67,0.0,2.1,0.4919
gold,SELL,10,3,9755.39,-2.45,33.33,-0.11,2.06,-0.3923
gold,SELL,20,3,9245.33,-7.55,66.67,-10.44,6.97,-0.3458
silver,SELL,5,9,9126.87,-8.73,44.44,-13.89,3.59,-0.2652
silver,SELL,10,9,7687.32,-23.13,33.33,-25.13,5.04,-0.5491
silver,SELL,20,9,5701.32,-42.99,33.33,-48.21,9.94,-0.5595
