date,signal,holding_days,today_price,future_price,forward_return_pct,asset
2021-04-28,BUY,5,1773.199951171875,1784.0999755859375,0.6147092665358397,gold
2021-05-19,SELL,5,1881.300048828125,1901.300048828125,-1.06309464098819,gold
2021-06-16,SELL,5,1859.5,1782.300048828125,4.151651044467599,gold
2021-07-28,BUY,5,1799.5,1810.5,0.6112809113642679,gold
2021-08-09,BUY,5,1723.4000244140625,1786.9000244140625,3.6845769467590275,gold
2021-09-17,BUY,5,1749.4000244140625,1749.699951171875,0.017144549767166967,gold
2021-09-22,SELL,5,1776.699951171875,1721.5,3.1068808852877066,gold
2021-09-29,BUY,5,1721.5,1760.5,2.2654661632297417,gold
2021-11-03,BUY,5,1763.5999755859375,1847.5999755859375,4.762984869745866,gold
2021-11-29,BUY,5,1782.300048828125,1777.5,-0.2693176623813182,gold
2021-12-02,BUY,5,1760.699951171875,1774.5999755859375,0.7894601465065648,gold
2022-02-11,BUY,5,1840.800048828125,1898.5999755859375,3.1399350947762423,gold
2022-03-08,SELL,5,2040.0999755859375,1928.5,5.470318951103602,gold
2022-03-16,BUY,5,1908.0,1936.5999755859375,1.498950502407626,gold
2022-04-29,SELL,5,1909.300048828125,1881.199951171875,1.4717486480711637,gold
2022-05-04,BUY,5,1867.0,1852.5999755859375,-0.7712921485839582,gold
2022-06-15,BUY,5,1815.300048828125,1825.699951171875,0.5729026642435063,gold
2022-07-27,BUY,5,1719.0999755859375,1758.0,2.26281338877943,gold
2022-08-02,SELL,5,1771.0999755859375,1794.0,-1.2929831590385759,gold
2022-09-19,BUY,5,1666.199951171875,1623.300048828125,-2.57471513629427,gold
2022-09-26,BUY,5,1623.300048828125,1692.9000244140625,4.28756073999889,gold
2022-10-11,SELL,5,1678.699951171875,1649.0,1.7692233297047464,gold
2022-11-02,SELL,5,1645.699951171875,1710.0999755859375,-3.9132300130533717,gold
2022-12-01,SELL,5,1801.0999755859375,1788.699951171875,0.6884695231883782,gold
2023-01-19,BUY,5,1922.0999755859375,1929.0999755859375,0.3641850106088318,gold
2023-01-31,SELL,5,1929.5,1871.699951171875,2.9955972442666496,gold
2023-02-01,BUY,5,1927.800048828125,1877.4000244140625,-2.6143802851701228,gold
2023-03-17,BUY,5,1969.800048828125,1982.0999755859375,0.6244251422945177,gold
2023-03-22,BUY,5,1946.800048828125,1966.0999755859375,0.9913666670303445,gold
2023-04-13,SELL,5,2041.300048828125,2007.5999755859375,1.6509122831567131,gold
