date,silver_spot
2011-06-01,36.79
2011-06-02,36.15
2011-06-03,36.2
2011-06-06,36.74
2011-06-07,37.09
2011-06-08,36.78
2011-06-09,37.54
2011-06-10,36.15
2011-06-13,34.69
2011-06-14,35.33
2011-06-15,35.76
2011-06-16,35.48
2011-06-17,35.8
2011-06-20,35.99
2011-06-21,36.3
2011-06-22,36.26
2011-06-23,35.25
2011-06-24,34.26
2011-06-27,33.54
2011-06-28,33.87
2011-06-29,34.76
2011-06-30,34.65
2011-07-01,33.81
2011-07-04,34.08
2011-07-05,35.43
2011-07-06,35.85
2011-07-07,36.39
2011-07-08,36.63
2011-07-11,35.75
2011-07-12,36.11
2011-07-13,38.14
2011-07-14,38.11
2011-07-15,39.23
2011-07-18,40.51
2011-07-19,38.96
2011-07-20,40.08
2011-07-21,39.28
2011-07-22,40.0
2011-07-25,40.31
2011-07-26,40.85
2011-07-27,40.2
2011-07-28,39.66
2011-07-29,39.82
2011-08-01,39.25
2011-08-02,40.8
2011-08-03,41.68
2011-08-04,38.81
2011-08-05,38.32
2011-08-08,38.97
2011-08-09,37.63
2011-08-10,39.23
2011-08-11,38.66
2011-08-12,39.02
2011-08-15,39.84
2011-08-16,39.86
2011-08-17,40.18
2011-08-18,40.59
2011-08-19,42.85
2011-08-22,43.7
2011-08-23,41.86
2011-08-24,39.63
2011-08-25,41.09
2011-08-26,41.66
2011-08-29,40.84
2011-08-30,41.26
2011-08-31,41.47
2011-09-01,41.44
2011-09-02,43.2
2011-09-05,42.9
2011-09-06,41.93
2011-09-07,41.52
2011-09-08,42.28
2011-09-09,41.45
2011-09-12,40.21
2011-09-13,41.03
2011-09-14,40.63
2011-09-15,39.83
2011-09-16,40.58
2011-09-19,39.56
2011-09-20,39.68
2011-09-21,39.6
2011-09-22,35.76
2011-09-23,31.11
2011-09-26,30.66
2011-09-27,31.83
2011-09-28,29.86
2011-09-29,30.58
2011-09-30,29.89
2011-10-03,30.42
2011-10-04,30.11
2011-10-05,30.41
2011-10-06,31.9
2011-10-07,31.1
2011-10-10,32.03
2011-10-11,32.07
2011-10-12,32.55
2011-10-13,31.75
2011-10-14,32.1
2011-10-17,31.74
2011-10-18,32.02
2011-10-19,30.97
2011-10-20,30.49
2011-10-21,31.29
2011-10-24,31.68
2011-10-25,33.15
2011-10-26,33.35
2011-10-27,35.05
2011-10-28,35.33
2011-10-31,34.16
2011-11-01,33.36
2011-11-02,34.21
2011-11-03,34.46
